Unnamed: 0,comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda,uf_por_m2,latitud,longitud,distancia_centro_km
0,Cerrillos,Casa Remodelada Con Dos Departamentos Independientes,3950.0,190.0,120.0,1,3,59,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2909713896-casa-remodelada-con-dos-departamentos-independientes-_JM,casa,32.916666666666664,-33.5115222,-70.7194284,10.321829784788054
1,Cerrillos,Casa 2 Pisos 5d 2b 2estacionamientos Potencial Comercial,5000.0,237.0,139.0,2,5,62,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3211195030-casa-2-pisos-5d-2b-2estacionamientos-potencial-comercial-_JM,casa,35.97122302158273,-33.4912755,-70.7197064,8.73219280032295
2,Cerrillos,Espaciosa Casa De Dos Pisos En Cerrillos-lista Para Habitar.,6368.0,250.0,189.0,2,4,0,2,True,True,True,True,False,False,False,https://portalinmobiliario.com/MLC-3116905292-espaciosa-casa-de-dos-pisos-en-cerrillos-lista-para-habitar-_JM,casa,33.6931216931217,-33.5076395,-70.7279917,10.535944646814007
3,Cerrillos,Remodelada Cerrillos Portal Oeste,3590.0,200.0,76.0,2,3,17,1,True,True,False,True,True,True,False,https://portalinmobiliario.com/MLC-3175041458-remodelada-cerrillos-portal-oeste-_JM,casa,47.23684210526316,-33.5135141,-70.7021263,9.564181039521424
4,Cerrillos,Venta Casa 4hab 3ba Comuna Cerrillos,4990.0,143.0,107.0,3,4,17,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-3209939828-venta-casa-4hab-3ba-comuna-cerrillos-_JM,casa,46.63551401869159,-33.515848,-70.71099,10.230868617685545
6,Cerrillos,Casa En Venta En Cerrillos Con Patio Y Estacionamiento,5850.0,356.0,136.0,2,3,35,4,True,True,False,True,True,True,True,https://portalinmobiliario.com/MLC-1710904611-casa-en-venta-en-cerrillos-con-patio-y-estacionamiento-_JM,casa,43.01470588235294,-33.4929625,-70.7145911,8.505695194956676
7,Cerrillos,Casa Fernández Albano Id: 124246,9000.0,164.0,85.0,5,6,5,2,False,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1632599567-casa-fernandez-albano-id-124246-_JM,casa,105.88235294117646,-33.5084516,-70.7084657,9.425574965891355
8,Cerrillos,Venta Casa Habitacional Comercial,4500.0,300.0,126.0,2,5,0,3,False,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-1691280679-venta-casa-habitacional-comercial-_JM,casa,35.714285714285715,-33.4875164,-70.7028637,7.307132778495187
9,Cerrillos,"Casa En Venta Uso Mixto, Cerrillos 3d 3b",5750.0,300.0,200.0,3,3,8,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3206655810-casa-en-venta-uso-mixto-cerrillos-3d-3b-_JM,casa,28.75,-33.4818501,-70.7028711,6.868030967644106
10,Cerrillos,Hermosa Casa En Cerrillos!,2077.0,105.0,68.0,1,3,26,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3192883286-hermosa-casa-en-cerrillos-_JM,casa,30.544117647058822,-33.5025863,-70.7320023,10.418381347428136
11,Cerrillos,Estupenda Casa 4d 3b En Micro Barrio Del Sector Portal Oeste,4699.0,132.0,107.0,3,4,6,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1717816149-estupenda-casa-4d-3b-en-micro-barrio-del-sector-portal-oeste-_JM,casa,43.91588785046729,-33.505207,-70.7049616,8.942523828601468
12,Cerrillos,Casa Profesor Joaquín Parra Castillo Id: 102808,7500.0,150.0,137.0,3,4,8,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2938225118-casa-profesor-joaquin-parra-castillo-id-102808-_JM,casa,54.74452554744526,-33.5083247,-70.7114506,9.58119266826528
13,Cerrillos,Casa En Villa Suiza Entregada Solo Hace 5 Años,5750.0,340.0,220.0,3,4,5,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2909595074-casa-en-villa-suiza-entregada-solo-hace-5-anos-_JM,casa,26.13636363636364,-33.4813634,-70.7012763,6.72256756772712
14,Cerrillos,Casa Profesor Joaquín Parra Castillo Id: 106958,6890.0,180.0,152.0,3,4,10,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3181257390-casa-profesor-joaquin-parra-castillo-id-106958-_JM,casa,45.328947368421055,-33.5083247,-70.7114506,9.58119266826528
15,Cerrillos,Casa En Venta De 3 Dorm. En Cerrillos,5750.0,300.0,200.0,3,3,8,4,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1710972909-casa-en-venta-de-3-dorm-en-cerrillos-_JM,casa,28.75,-33.4813634,-70.7012763,6.72256756772712
16,Cerrillos,Casa 204mts En Venta De 2 Dorm. En Cerrillos,3500.0,204.0,84.0,1,2,0,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1713132693-casa-204mts-en-venta-de-2-dorm-en-cerrillos-_JM,casa,41.66666666666666,-33.5079161,-70.7362174,11.105994997396936
17,Cerrillos,"Casa 3dorm-3baños En Condominio, Cerrillos, Mall P. Oeste",4350.0,122.0,87.0,3,3,12,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1704680221-casa-3dorm-3banos-en-condominio-cerrillos-mall-p-oeste-_JM,casa,50.0,-33.5020072,-70.7065657,8.74879500122882
18,Cerrillos,Casa En Excelente Ubicacion,3600.0,128.0,70.0,2,3,21,1,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1677327241-casa-en-excelente-ubicacion-_JM,casa,51.42857142857143,-33.5121487,-70.7027912,9.467961133064046
20,Cerrillos,"Casa 3d,1b 113/136m2 Residencial",2950.0,182.0,113.0,1,3,35,1,True,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-3221857790-casa-3d1b-113136m2-residencial-_JM,casa,26.10619469026549,-33.5069874,-70.6994075,8.815353760544218
23,Cerrillos,Remodelada En Pasaje Cerrado 3d-2b,3590.0,124.0,76.0,2,3,17,1,True,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-3174048286-remodelada-en-pasaje-cerrado-3d-2b-_JM,casa,47.23684210526316,-33.5135141,-70.7021263,9.564181039521424
24,Cerrillos,Linda Casa Remodelada 3d-1b Villa Vista Alegre Cerrillos,3580.0,161.0,63.0,1,3,31,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1725249277-linda-casa-remodelada-3d-1b-villa-vista-alegre-cerrillos-_JM,casa,56.82539682539682,-33.5064856,-70.6992619,8.761098706049303
25,Cerrillos,Casa A Minutos De Mall Plaza Oeste,4390.0,122.0,87.0,3,3,12,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3001068846-casa-a-minutos-de-mall-plaza-oeste-_JM,casa,50.45977011494253,-33.5020072,-70.7065657,8.74879500122882
26,Cerrillos,Hermosa Casa Individual Con Quincho,4500.0,144.0,85.0,3,3,17,3,True,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-3201504114-hermosa-casa-individual-con-quincho-_JM,casa,52.94117647058823,-33.5140225,-70.7051868,9.763111598702933
29,Cerro Navia,Casa 3d 1b Estacionamiento Cercana Futura Estación Metro,2900.0,171.0,86.0,1,3,49,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3206809576-casa-3d-1b-estacionamiento-cercana-futura-estacion-metro-_JM,casa,33.72093023255814,-33.4204759,-70.7580717,10.42914167332741
30,Cerro Navia,Casa Grande Y Espaciosa - Nuevo Horizonte,2200.0,192.0,130.0,0,3,0,0,True,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-3192889014-casa-grande-y-espaciosa-nuevo-horizonte-_JM,casa,16.923076923076923,-33.4181575,-70.734976,8.417528559153615
32,Cerro Navia,Casa 3d1b Estacionamiento En Teniente Cruz,3600.0,160.0,96.0,1,3,59,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1726225111-casa-3d1b-estacionamiento-en-teniente-cruz-_JM,casa,37.5,-33.4282808,-70.7409593,8.70896818763435
33,Cerro Navia,Gran Oportunidad Para Inversionista,2500.0,175.0,175.0,1,4,45,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1720885833-gran-oportunidad-para-inversionista-_JM,casa,14.285714285714286,-33.4278716,-70.7405196,8.675737168439525
34,Cerro Navia,"Venta Casa 2hab 1ba Luis Lazzarini, 7600",2500.0,178.0,136.0,1,2,25,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1717441981-venta-casa-2hab-1ba-luis-lazzarini-7600-_JM,casa,18.38235294117647,-33.4203314,-70.7435703,9.121806424897825
35,Cerro Navia,"Casa Ampliada Y Regularizada Con Depto Interior, Cerro Navia",2548.0,160.0,160.0,2,3,50,1,False,False,False,False,True,False,False,https://portalinmobiliario.com/MLC-1653161305-casa-ampliada-y-regularizada-con-depto-interior-cerro-navia-_JM,casa,15.925,-33.4272982,-70.7409513,8.725579696521507
36,Cerro Navia,"Casa-local En Venta, Prox. A Nueva Línea 7 Metro Cerro Navia",2650.0,180.0,106.0,2,2,38,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3241389436-casa-local-en-venta-prox-a-nueva-linea-7-metro-cerro-navia-_JM,casa,25.0,-33.4257039,-70.7478125,9.383091971075531
37,Cerro Navia,Rebajada !!! Casa Esquina 438 Mts Terreno 160 Const 4d/2b,4700.0,438.0,167.0,2,5,52,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3000508264-rebajada-casa-esquina-438-mts-terreno-160-const-4d2b-_JM,casa,28.14371257485029,-33.4284958,-70.7247902,7.225298456875272
38,Cerro Navia,Propiedad Rebajada  Casa En Venta,2560.0,162.0,92.0,2,3,44,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3217972978-propiedad-rebajada-casa-en-venta-_JM,casa,27.82608695652174,-33.4140121,-70.7478725,9.697330672019572
