comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda
Cerrillos,Casa Remodelada Con Dos Departamentos Independientes,3950.0,190.0,120.0,1,3,59,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2909713896-casa-remodelada-con-dos-departamentos-independientes-_JM,casa
Cerrillos,Imperdible!!! Casa Remodelada/metro Cerrillos,,233.0,80.0,1,3,55,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1675522017-imperdible-casa-remodeladametro-cerrillos-_JM,casa
Cerrillos,Hermosa Casa 3 Pisos 5d/4b En Condominio,,400.0,135.0,4,5,0,3,False,False,False,True,True,True,True,https://portalinmobiliario.com/MLC-3179486960-hermosa-casa-3-pisos-5d4b-en-condominio-_JM,casa
Cerrillos,Oportunidad Casa En Maipu Villa Los Heroes,,200.0,135.0,2,4,45,0,False,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-3066001522-oportunidad-casa-en-maipu-villa-los-heroes-_JM,casa
Cerrillos,Venta Casa En Cerrillos Ideal Uso Comercial,,135.0,135.0,2,4,44,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1716008519-venta-casa-en-cerrillos-ideal-uso-comercial-_JM,casa
Cerrillos,Casa 2 Pisos 5d 2b 2estacionamientos Potencial Comercial,5000.0,237.0,139.0,2,5,62,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3211195030-casa-2-pisos-5d-2b-2estacionamientos-potencial-comercial-_JM,casa
Cerrillos,Espaciosa Casa De Dos Pisos En Cerrillos-lista Para Habitar.,6368.0,250.0,189.0,2,4,0,2,True,True,True,True,False,False,False,https://portalinmobiliario.com/MLC-3116905292-espaciosa-casa-de-dos-pisos-en-cerrillos-lista-para-habitar-_JM,casa
Cerrillos,Remodelada Cerrillos Portal Oeste,3590.0,200.0,76.0,2,3,17,1,True,True,False,True,True,True,False,https://portalinmobiliario.com/MLC-3175041458-remodelada-cerrillos-portal-oeste-_JM,casa
Cerrillos,Venta Casa 4hab 3ba Comuna Cerrillos,4990.0,143.0,107.0,3,4,17,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-3209939828-venta-casa-4hab-3ba-comuna-cerrillos-_JM,casa
Cerrillos,Hermosa Casa En Sector Residencial,3690.0,128.0,128.0,3,4,21,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1665949455-hermosa-casa-en-sector-residencial-_JM,casa
Cerrillos,Casa En Venta En Cerrillos Con Patio Y Estacionamiento,5850.0,356.0,136.0,2,3,35,4,True,True,False,True,True,True,True,https://portalinmobiliario.com/MLC-1710904611-casa-en-venta-en-cerrillos-con-patio-y-estacionamiento-_JM,casa
Cerrillos,Oportunidad / Seguridad/ Amplia Casa-oficina/ 3d+3b+3e,,190.0,125.0,3,3,57,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3214985130-oportunidad-seguridad-amplia-casa-oficina-3d3b3e-_JM,casa
Cerrillos,Casa Fernández Albano Id: 124246,9000.0,164.0,85.0,5,6,5,2,False,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1632599567-casa-fernandez-albano-id-124246-_JM,casa
Cerrillos,Casa En Venta De 7 Dorm. En Cerrillos,,162.0,54.0,3,7,45,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3071842170-casa-en-venta-de-7-dorm-en-cerrillos-_JM,casa
Cerrillos,Casa En Venta De 3 Dorm. En Cerrillos,,242.0,66.0,1,3,59,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3071894982-casa-en-venta-de-3-dorm-en-cerrillos-_JM,casa
Cerrillos,Venta Casa Habitacional Comercial,4500.0,300.0,126.0,2,5,0,3,False,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-1691280679-venta-casa-habitacional-comercial-_JM,casa
Cerrillos,Se Vende Casa Con Amplio Terreno En Villa Cerrillos,,194.0,0.0,1,3,55,4,True,False,False,True,True,True,True,https://portalinmobiliario.com/MLC-1675506275-se-vende-casa-con-amplio-terreno-en-villa-cerrillos-_JM,casa
Cerrillos,"Casa En Venta Uso Mixto, Cerrillos 3d 3b",5750.0,300.0,200.0,3,3,8,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3206655810-casa-en-venta-uso-mixto-cerrillos-3d-3b-_JM,casa
Cerrillos,Vive La Vida Familiar Que Siempre Soñaste,,168.0,58.0,1,2,55,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1670373945-vive-la-vida-familiar-que-siempre-sonaste-_JM,casa
Cerrillos,Hermosa Casa En Cerrillos!,2077.0,105.0,68.0,1,3,26,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3192883286-hermosa-casa-en-cerrillos-_JM,casa
Cerrillos,"Casa En Venta, Cerrillos. (110).",,183.0,74.0,1,3,0,1,True,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-3134915698-casa-en-venta-cerrillos-110-_JM,casa
Cerrillos,Estupenda Casa 4d 3b En Micro Barrio Del Sector Portal Oeste,4699.0,132.0,107.0,3,4,6,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1717816149-estupenda-casa-4d-3b-en-micro-barrio-del-sector-portal-oeste-_JM,casa
Cerrillos,Casa Profesor Joaquín Parra Castillo Id: 102808,7500.0,150.0,137.0,3,4,8,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2938225118-casa-profesor-joaquin-parra-castillo-id-102808-_JM,casa
Cerrillos,Casa En Villa Suiza Entregada Solo Hace 5 Años,5750.0,340.0,220.0,3,4,5,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2909595074-casa-en-villa-suiza-entregada-solo-hace-5-anos-_JM,casa
Cerrillos,Casa Profesor Joaquín Parra Castillo Id: 106958,6890.0,180.0,152.0,3,4,10,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3181257390-casa-profesor-joaquin-parra-castillo-id-106958-_JM,casa
